Old API (2014-08-15),New API equivalent (2017-01-17)
"ApproveAssignment
ApproveRejectedAssignment",ApproveAssignment
AssignQualification,AssociateQualificationWithWorker
BlockWorker,CreateWorkerBlock
ChangeHITTypeOfHIT,UpdateHITTypeOfHIT
CreateHIT,CreateHIT
 - ,CreateHITWithHITType
CreateQualificationType,CreateQualificationType
DisableHIT, - 
DisposeHIT,DeleteHIT
DisposeQualificationType,DeleteQualificationType
ExtendHIT,CreateAdditionalAssignmentsForHIT
ForceExpireHIT,UpdateExpirationForHIT
GetAccountBalance,GetAccountBalance
GetAssignment,GetAssignment
GetAssignmentsForHIT,ListAssignmentsForHIT
GetBlockedWorkers,ListWorkerBlocks
GetBonusPayments,ListBonusPayments
GetFileUploadURL,GetFileUploadURL
GetHIT,GetHIT
GetHITsForQualificationType,ListHITsForQualificationType
GetQualificationsForQualificationType, - 
GetQualificationRequests,ListQualificationRequests
GetQualificationScore,GetQualificationScore
GetQualificationType,GetQualificationType
GetReviewableHITs,ListReviewableHITs
GetReviewResultsForHIT,ListReviewPolicyResultsForHIT
GetRequesterStatistic, - 
GetRequesterWorkerStatistic, - 
GrantBonus,SendBonus
GrantQualification,AcceptQualificationRequest
NotifyWorkers,NotifyWorkers
RegisterHITType,CreateHITType
RejectAssignment,RejectAssignment
RejectQualificationRequest,RejectQualificationRequest
RevokeQualification,DisassociateQualificationFromWorker
SearchHITs,ListHITs
SearchQualificationTypes,ListQualificationTypes
SendTestEventNotification,SendTestEventNotification
SetHITAsReviewing,UpdateHITReviewStatus
SetHITTypeNotification,UpdateNotificationSettings
UnblockWorker,DeleteWorkerBlock
UpdateQualificationScore,AssociateQualificationWithWorker
UpdateQualificationType,UpdateQualificationType
 - ,ListWorkersWithQualificationType
